[PngImagePlugin.py:190] - 2023-08-15 12:46:26,222 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,222 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,223 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,223 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,223 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,223 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,223 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,224 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,224 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,224 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,224 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,224 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,224 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,224 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,225 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,225 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,225 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,225 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 12:46:26,225 - DEBUG - STREAM b'IDAT' 91 1063
[builder.pyw:425] - 2023-08-15 12:47:52,667 - INFO - Retrieved filename: CuriousChimps
[builder.pyw:394] - 2023-08-15 12:47:52,667 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-15 12:47:52,667 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-15 12:47:52,669 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-15 12:49:05,794 - INFO - Successfully compiled CuriousChimps.exe with pyinstaller
[builder.pyw:529] - 2023-08-15 12:49:06,435 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-15 12:49:06,436 - INFO - Successfully removed file: ./CuriousChimps.py
[builder.pyw:538] - 2023-08-15 12:49:06,436 - INFO - Successfully removed file: ./CuriousChimps.spec
[builder.pyw:538] - 2023-08-15 12:49:06,436 - INFO - Successfully removed file: ./tools/upx.exe
[connectionpool.py:812] - 2023-08-15 12:51:25,505 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:391] - 2023-08-15 12:51:25,898 - DEBUG - https://discord.com:443 "GET /api/webhooks/1137354209927381083/dfH9kZJ_4lqj0tHxiEkFwtCCV6OOM02ggtvZ0VjL82_YWIULYFA6vTS5-G7gIpLkpF8k HTTP/1.1" 200 None
[builder.pyw:425] - 2023-08-15 12:51:27,019 - INFO - Retrieved filename: CuriousChimps
[builder.pyw:394] - 2023-08-15 12:51:27,019 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-15 12:51:27,019 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-15 12:51:27,021 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-15 12:52:55,801 - INFO - Successfully compiled CuriousChimps.exe with pyinstaller
[builder.pyw:529] - 2023-08-15 12:52:56,110 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-15 12:52:56,110 - INFO - Successfully removed file: ./CuriousChimps.py
[builder.pyw:538] - 2023-08-15 12:52:56,111 - INFO - Successfully removed file: ./CuriousChimps.spec
[builder.pyw:538] - 2023-08-15 12:52:56,112 - INFO - Successfully removed file: ./tools/upx.exe
[connectionpool.py:812] - 2023-08-15 13:00:09,637 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:391] - 2023-08-15 13:00:09,872 - DEBUG - https://discord.com:443 "GET /api/webhooks/1137354209927381083/dfH9kZJ_4lqj0tHxiEkFwtCCV6OOM02ggtvZ0VjL82https://discord.com/api/webhooks/1140978192644046849/iuF-_2aLi9u2G6IPHqkQ2rEpkOXL_9ppjE2x3ZfNroKkOZk3Ur6oaJJSByay_JFu3QHw_YWIULYFA6vTS5-G7gIpLkpF8k HTTP/1.1" 404 40
[builder.pyw:278] - 2023-08-15 13:00:09,874 - ERROR - Webhook not valid. Status code: 404. Webhook: https://discord.com/api/webhooks/1137354209927381083/dfH9kZJ_4lqj0tHxiEkFwtCCV6OOM02ggtvZ0VjL82https://discord.com/api/webhooks/1140978192644046849/iuF-_2aLi9u2G6IPHqkQ2rEpkOXL_9ppjE2x3ZfNroKkOZk3Ur6oaJJSByay_JFu3QHw_YWIULYFA6vTS5-G7gIpLkpF8k
[connectionpool.py:812] - 2023-08-15 13:00:18,735 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:391] - 2023-08-15 13:00:18,963 - DEBUG - https://discord.com:443 "GET /api/webhooks/1140978192644046849/iuF-_2aLi9u2G6IPHqkQ2rEpkOXL_9ppjE2x3ZfNroKkOZk3Ur6oaJJSByay_JFu3QHw HTTP/1.1" 200 None
[builder.pyw:425] - 2023-08-15 13:00:34,379 - INFO - Retrieved filename: CuriousChimps
[builder.pyw:394] - 2023-08-15 13:00:34,379 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-15 13:00:34,379 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-15 13:00:34,381 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-15 13:02:05,931 - INFO - Successfully compiled CuriousChimps.exe with pyinstaller
[builder.pyw:529] - 2023-08-15 13:02:06,119 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-15 13:02:06,119 - INFO - Successfully removed file: ./CuriousChimps.py
[builder.pyw:538] - 2023-08-15 13:02:06,120 - INFO - Successfully removed file: ./CuriousChimps.spec
[builder.pyw:538] - 2023-08-15 13:02:06,120 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:425] - 2023-08-15 13:03:27,395 - INFO - Retrieved filename: Logger
[builder.pyw:394] - 2023-08-15 13:03:27,395 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-15 13:03:27,395 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-15 13:03:27,396 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-15 13:05:04,408 - INFO - Successfully compiled Logger.exe with pyinstaller
[builder.pyw:529] - 2023-08-15 13:05:05,283 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-15 13:05:05,283 - INFO - Successfully removed file: ./Logger.spec
[builder.pyw:538] - 2023-08-15 13:05:05,284 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:538] - 2023-08-15 13:05:05,284 - INFO - Successfully removed file: ./Logger.py
[admin.py:92] - 2023-08-15 13:06:06,882 - INFO - Process handle <PyHANDLE:1364> returned code 0
[admin.py:29] - 2023-08-15 13:06:12,949 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-15 13:06:12,949 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-15 13:06:13,030 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\Rob\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\Rob\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-15 13:06:13,030 - INFO - Running command 'C:\\Users\\Rob\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - 'C:\\Users\\Rob\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2023-08-15 13:06:15,494 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,281 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,281 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,281 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,282 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,282 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,282 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,282 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,282 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,282 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,283 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,283 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,283 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,283 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,283 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,284 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,284 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,284 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,284 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,284 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,285 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,285 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,285 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,285 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 13:06:16,285 - DEBUG - STREAM b'IDAT' 91 1063
[builder.pyw:425] - 2023-08-15 13:06:36,156 - INFO - Retrieved filename: Logger
[builder.pyw:394] - 2023-08-15 13:06:36,156 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-15 13:06:36,156 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-15 13:06:36,157 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-15 13:07:46,344 - INFO - Successfully compiled Logger.exe with pyinstaller
[builder.pyw:529] - 2023-08-15 13:07:46,418 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-15 13:07:46,418 - INFO - Successfully removed file: ./tools/upx.exe
